,x
0,42.48
1,39.11
2,28.45
3,39.11
4,48.41
5,38.64
6,33.34
7,96.78
8,53.58
9,46.29
10,39.89
11,46.57
12,33.47
13,68.57
14,79.37
15,54.52
16,31.97
17,30.31
18,70.95
19,51.39
20,49.55
21,37.03
22,65.5
23,94.07
24,94.23
25,111.61
26,43.99
27,57.54
28,66.47
29,69.02
30,43.06
31,21.62
32,52.92
33,40.49
34,38.69
35,26.48
36,45.74
37,43.7
38,35.73
39,47.06
40,25.12
41,49.48
42,21.69
43,55.08
44,52.62
45,62.25
46,79.68
47,47.11
48,41.34
49,38.47
50,42.38
51,36.99
52,45.68
53,45.26
54,55.7
55,33.93
56,47.06
57,59.77
58,22.81
59,40.07
60,39.91
61,26.58
62,57.39
63,32.17
64,26.56
65,32.11
66,76.62
67,32.61
68,65.76
69,49.68
70,68.59
71,49.29
72,49.43
73,33.74
74,45.56
75,45.57
76,37.84
77,62.91
78,87.38
79,44.45
80,50.08
81,44.11
82,83.55
83,51.97
84,39.21
85,57.05
86,52.31
87,46.5
88,55.74
89,37.88
90,33.76
91,69.41
92,46.13
93,42.3
94,30.85
95,33.38
96,42.03
97,49.76
98,68.05
99,41.85
100,41.6
101,54.85
102,46.31
103,62.88
104,50.97
105,53.31
106,48.76
107,33.21
108,44.06
109,35.88
110,56.69
111,37.65
112,30.45
113,53.83
114,56.38
115,38.96
116,56.73
117,45.21
118,69.62
119,66.38
120,58.17
121,44.26
122,72.2
123,38.87
124,99.81
125,32.82
126,92.0
127,33.81
128,43.38
129,40.69
130,35.99
131,52.45
132,48.56
133,42.44
134,47.01
135,51.56
136,81.5
137,66.39
138,77.62
139,51.0
140,43.99
141,49.34
142,78.58
143,55.24
144,45.97
145,33.22
146,30.19
147,65.94
148,76.88
149,36.44
150,96.13
151,32.97
152,32.73
153,66.16
154,62.27
155,46.64
156,68.63
157,50.91
158,25.03
159,49.05
160,44.18
161,43.57
162,45.01
163,66.22
164,39.08
165,30.04
166,49.5
167,44.18
168,30.63
169,69.5
170,46.51
171,34.06
172,51.23
173,32.38
174,38.49
175,28.16
176,40.37
177,38.25
178,44.96
179,48.89
180,61.81
181,26.74
182,45.29
183,56.89
184,39.34
185,51.11
186,59.31
187,56.08
188,49.24
189,41.45
190,71.93
191,77.77
192,42.73
193,39.44
194,48.24
195,49.5
196,34.62
197,54.31
198,35.22
199,43.38
200,68.8
201,34.53
202,28.8
203,29.24
204,33.57
205,64.46
206,50.55
207,45.03
208,54.56
209,27.56
210,52.58
211,51.57
212,68.04
213,47.22
214,63.57
215,48.17
216,39.51
217,51.8
218,31.56
219,48.22
220,43.31
221,66.6
222,67.52
223,41.23
224,26.98
225,37.35
226,39.63
227,47.43
228,51.94
229,80.42
230,90.26
231,47.19
232,45.17
233,22.62
234,75.6
235,75.16
236,33.29
237,51.94
238,32.31
239,29.92
240,38.55
241,56.06
242,50.34
243,44.25
244,70.8
245,43.82
246,62.99
247,95.97
248,43.66
249,52.49
250,49.1
251,45.79
252,48.5
253,31.45
254,38.77
255,45.22
256,88.33
257,47.86
258,50.92
259,60.99
260,28.32
261,46.96
262,59.01
263,59.22
264,51.46
265,31.57
266,36.51
267,65.04
268,36.02
269,44.57
270,36.79
271,43.32
